,title,year,vote_count,vote_average,popularity,genres,Science Fiction,Action,War,Adventure,Horror,Thriller,History,Documentary,Romance,Music,Drama,Animation,Mystery,Western,TV Movie,Fantasy,Comedy,Crime,Family
362,The Mask,1994,2550,6,14.13488,"['Romance', 'Comedy', 'Crime', 'Fantasy']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
363,Maverick,1994,490,6,15.050326,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']",0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
365,The Naked Gun 33⅓: The Final Insult,1994,535,6,10.587232,"['Comedy', 'Crime']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
372,Speed,1994,1814,6,10.859292,"['Action', 'Adventure', 'Crime']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
375,True Lies,1994,1138,6,11.396099,"['Action', 'Thriller']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
405,Addams Family Values,1993,537,6,17.555909,"['Comedy', 'Family', 'Fantasy']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
415,Beverly Hills Cop III,1994,445,5,11.787784,"['Action', 'Comedy', 'Crime']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
423,A Bronx Tale,1993,447,7,6.115628,"['Drama', 'Crime']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
426,Carlito's Way,1993,805,7,8.698509,"['Action', 'Crime', 'Drama', 'Thriller']",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
429,Cliffhanger,1993,600,6,9.830853,"['Action', 'Adventure', 'Thriller']",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
436,Dazed and Confused,1993,588,7,6.8652,"['Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
437,Demolition Man,1993,1018,6,11.626116,"['Crime', 'Action', 'Science Fiction']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
449,The Firm,1993,513,6,9.678367,"['Drama', 'Mystery', 'Thriller']",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
452,The Fugitive,1993,1240,7,10.08937,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']",0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
461,Hot Shots! Part Deux,1993,463,6,13.482371,"['Action', 'Comedy', 'War']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
475,Jurassic Park,1993,4956,7,8.863776,"['Adventure', 'Science Fiction']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,Last Action Hero,1993,725,6,9.434006,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
495,Mrs. Doubtfire,1993,1638,7,11.16553,"['Comedy', 'Drama', 'Family']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
503,Philadelphia,1993,1019,7,13.373006,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
515,Robin Hood: Men in Tights,1993,575,6,17.136672,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
522,Schindler's List,1993,4436,8,41.725123,"['Drama', 'History', 'War']",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
534,Sleepless in Seattle,1993,630,6,10.234919,"['Comedy', 'Drama', 'Romance']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
536,Blade Runner,1982,3833,7,96.272374,"['Science Fiction', 'Drama', 'Thriller']",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
546,The Nightmare Before Christmas,1993,2135,7,17.730913,"['Fantasy', 'Animation', 'Family']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
548,Tombstone,1993,632,7,11.338194,"['Action', 'Adventure', 'Drama', 'History', 'Western']",0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
550,True Romance,1993,762,7,17.189328,"['Action', 'Thriller', 'Crime', 'Romance']",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
579,Home Alone,1990,2487,7,0.702543,"['Comedy', 'Family']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
580,Ghost,1990,1381,6,11.945397,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
581,Aladdin,1992,3495,7,16.357419,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1
582,Terminator 2: Judgment Day,1991,4274,7,22.661695,"['Action', 'Thriller', 'Science Fiction']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
583,Dances with Wolves,1990,1084,7,11.654349,"['Adventure', 'Drama', 'Western']",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
585,Batman,1989,2145,7,19.10673,"['Fantasy', 'Action']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
586,The Silence of the Lambs,1991,4549,8,4.307222,"['Crime', 'Drama', 'Thriller']",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
587,Snow White and the Seven Dwarfs,1937,1973,6,16.263878,"['Fantasy', 'Animation', 'Family']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
588,Beauty and the Beast,1991,3029,7,23.433511,"['Romance', 'Family', 'Animation', 'Fantasy', 'Music']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1
589,Pinocchio,1940,1412,6,14.202284,"['Animation', 'Family']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
590,Pretty Woman,1990,1807,7,13.348451,"['Romance', 'Comedy']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
600,Fargo,1996,2080,7,12.61469,"['Crime', 'Drama', 'Thriller']",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
608,The Aristocats,1970,1287,7,9.834047,"['Animation', 'Comedy', 'Family', 'Adventure']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
619,Primal Fear,1996,644,7,10.326213,"['Crime', 'Drama', 'Mystery', 'Thriller']",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
638,Mission: Impossible,1996,2677,6,15.793477,"['Adventure', 'Action', 'Thriller']",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
643,DragonHeart,1996,553,6,23.63659,['Fantasy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
662,Space Jam,1996,1335,6,11.054251,"['Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1
716,The Rock,1996,1474,6,13.249824,"['Action', 'Adventure', 'Thriller']",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
719,Twister,1996,966,6,8.739144,"['Action', 'Adventure', 'Drama']",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
723,Ghost in the Shell,1995,854,7,10.686166,"['Action', 'Animation', 'Science Fiction']",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
732,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1472,8,9.80398,"['Drama', 'Comedy', 'War']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
758,Trainspotting,1996,2737,7,19.348466,"['Drama', 'Crime']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
760,Independence Day,1996,3334,6,17.634197,"['Action', 'Adventure', 'Science Fiction']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,The Hunchback of Notre Dame,1996,1182,6,13.553999,"['Drama', 'Animation', 'Family']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
764,The Cable Guy,1996,603,5,7.586577,"['Comedy', 'Drama', 'Thriller']",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
766,Eraser,1996,553,5,6.919314,"['Action', 'Drama', 'Mystery', 'Thriller']",0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
768,The Nutty Professor,1996,717,5,9.651581,"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
784,A Time to Kill,1996,522,7,13.309013,"['Crime', 'Drama', 'Thriller']",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
808,Ransom,1996,482,6,8.772188,"['Action', 'Thriller']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
813,Matilda,1996,892,6,10.034915,"['Comedy', 'Family', 'Fantasy']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
834,The Godfather,1972,6024,8,41.109264,"['Drama', 'Crime']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
872,Singin' in the Rain,1952,747,7,11.064858,"['Comedy', 'Music', 'Romance']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
875,Breakfast at Tiffany's,1961,1082,7,10.879289,"['Comedy', 'Drama', 'Romance']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
876,Vertigo,1958,1162,8,18.20822,"['Mystery', 'Romance', 'Thriller']",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
877,Rear Window,1954,1531,8,17.911314,"['Drama', 'Mystery', 'Thriller']",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
881,North by Northwest,1959,1062,7,12.410427,"['Mystery', 'Thriller']",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
882,The Apartment,1960,498,8,11.994281,"['Comedy', 'Drama', 'Romance']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
883,Some Like It Hot,1959,835,8,11.845107,"['Comedy', 'Romance']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
885,Casablanca,1942,1462,7,13.916101,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
886,The Maltese Falcon,1941,435,7,5.782544,"['Mystery', 'Crime', 'Thriller']",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
889,Roman Holiday,1953,502,7,11.954806,"['Comedy', 'Romance']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
892,The Wizard of Oz,1939,1689,7,22.064932,"['Adventure', 'Family', 'Fantasy']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
893,Gone with the Wind,1939,995,7,14.240357,"['Drama', 'Romance', 'War']",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
895,Sunset Boulevard,1950,533,8,11.709777,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
896,Citizen Kane,1941,1244,8,15.811921,"['Mystery', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
897,2001: A Space Odyssey,1968,3075,7,22.494622,"['Science Fiction', 'Mystery', 'Adventure']",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
926,It's a Wonderful Life,1946,1103,8,15.031588,"['Drama', 'Family', 'Fantasy']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
941,Night of the Living Dead,1968,591,7,14.384198,['Horror'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991,Cool Runnings,1993,510,6,8.30721,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
993,Cinderella,1950,1760,6,14.436858,"['Family', 'Fantasy', 'Animation', 'Romance']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
996,The Sword in the Stone,1963,935,6,10.636458,"['Animation', 'Family']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
998,Robin Hood: Prince of Thieves,1991,937,6,10.639244,['Adventure'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,Mary Poppins,1964,1217,7,15.11549,"['Comedy', 'Family', 'Fantasy']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
1000,Dumbo,1941,1206,6,14.655879,"['Animation', 'Family']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1003,Alice in Wonderland,1951,1557,7,16.488937,"['Animation', 'Adventure', 'Family', 'Fantasy']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1004,The Fox and the Hound,1981,884,7,10.197106,"['Adventure', 'Animation', 'Drama', 'Family']",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1006,The Sound of Music,1965,966,7,9.06773,"['Drama', 'Family', 'Music', 'Romance']",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
1007,Die Hard,1988,4005,7,16.640522,"['Action', 'Thriller']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,Romeo + Juliet,1996,1406,6,11.774061,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1031,Sleepers,1996,729,7,9.198283,"['Crime', 'Drama', 'Thriller']",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1034,Aladdin and the King of Thieves,1996,494,6,8.654244,"['Adventure', 'Animation', 'Family']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1042,Willy Wonka & the Chocolate Factory,1971,826,7,12.416635,"['Family', 'Fantasy']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1047,A Fish Called Wanda,1988,576,7,11.400353,"['Comedy', 'Crime']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1048,Life of Brian,1979,1230,7,10.714173,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1054,Dial M for Murder,1954,539,7,7.853231,"['Crime', 'Mystery', 'Thriller']",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1056,Dirty Dancing,1987,1371,7,14.044122,"['Drama', 'Music', 'Romance']",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
1057,Reservoir Dogs,1992,3821,8,12.22034,"['Crime', 'Thriller']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1058,Platoon,1986,1236,7,18.206972,"['Drama', 'War', 'Action']",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1060,Basic Instinct,1992,869,6,16.628427,"['Thriller', 'Mystery']",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1065,E.T. the Extra-Terrestrial,1982,3359,7,19.358546,"['Science Fiction', 'Adventure', 'Family', 'Fantasy']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1069,Top Gun,1986,1736,6,20.301019,"['Action', 'Romance', 'War']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1092,The Abyss,1989,822,7,9.809585,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,Escape from New York,1981,720,6,10.124544,"['Science Fiction', 'Action']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,Monty Python and the Holy Grail,1975,1742,7,10.43389,"['Adventure', 'Comedy', 'Fantasy']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1132,Cinema Paradiso,1988,834,8,14.177005,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1138,Paths of Glory,1957,565,8,8.548518,"['Drama', 'War']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1142,The English Patient,1996,559,7,15.564161,"['Drama', 'Romance', 'War']",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1152,One Flew Over the Cuckoo's Nest,1975,3001,8,35.529554,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1154,The Empire Strikes Back,1980,5998,8,19.470959,"['Adventure', 'Action', 'Science Fiction']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,The Princess Bride,1987,1518,7,15.15267,"['Adventure', 'Family', 'Fantasy', 'Comedy', 'Romance']",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
1156,Raiders of the Lost Ark,1981,3949,7,19.901576,"['Adventure', 'Action']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,Brazil,1985,877,7,9.837287,"['Comedy', 'Science Fiction']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1158,Aliens,1986,3282,7,21.761179,"['Horror', 'Action', 'Thriller', 'Science Fiction']",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1159,"The Good, the Bad and the Ugly",1966,2371,8,16.788787,['Western'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1161,12 Angry Men,1957,2130,8,16.503959,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1162,Lawrence of Arabia,1962,870,7,10.893332,"['Adventure', 'Drama', 'History', 'War']",0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1163,A Clockwork Orange,1971,3432,8,17.112594,"['Science Fiction', 'Drama']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1164,To Kill a Mockingbird,1962,676,7,14.284787,"['Crime', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1165,Apocalypse Now,1979,2112,8,13.5963,"['Drama', 'War']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1166,Once Upon a Time in the West,1968,1160,8,15.589351,['Western'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1167,Return of the Jedi,1983,4763,7,14.586087,"['Adventure', 'Action', 'Science Fiction']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,GoodFellas,1990,3211,8,15.424092,"['Drama', 'Crime']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
